AFC Bournemouth,Bournemouth and Boscombe Athletic,1971,
AFC Bournemouth,Bournemouth,,
Aldershot Town,Aldershot,1991,
Arsenal,Woolwich Arsenal,1914,
Birmingham City,Small Health,1905,
Birmingham City,Birmingham,1945,
Bradford,Bradford Park Avenue,,
Burton United,Burton Swifts,1901,Merged with Burton United in 1897
Burton Wanderers,,,Merged with Burton Wanderers in 1897
Chester City,Chester,1983,
Chesterfield,Chesterfield Town,1915,
Chesterfield,Chesterfield Municipal,1922,
Gateshead,South Shields,1930,
Glossop,Glossop North End,1899,
Halifax Town,AFC Halifax Town,,
Hartlepool United,Hartlepools United,1968,
Hartlepool United,Hartlepool,1977,
Leicester City,Leicester Fosse,1919,
Leyton Orient,Clapton Orient,1946,
Leyton Orient,Orient,1987,
Loughborough,Loughborough Town,,
Manchester City,Ardwick,1894,
Manchester United,Newton Heath,1902,
Millwall,Millwall Athletic,1925,
Milton Keynes Dons,Wimbledon,2004,
Port Vale,Burslem Port Vale,1913,
Rotherham Town,,,Merged with Rotherham United 1896
Rotherham United,Rotherham County,1926,Merged with Rotherham Town 1896
Rushden and Diamonds,AFC Rushden & Diamonds,,
Scunthorpe United,Scunthorpe & Lindsey United,1958,
Sheffield Wednesday,The Wednesday,1929,
Stoke City,Stoke,1925,
Swansea City,Swansea Town,1970,
Walsall,Walsall Town Swifts,1895,